Loaded 1000 frames.
Time,I,I_dot,Z_Diagnostic
1.5400,22.4656,-1.2484,1.1502
1.5450,22.4588,-1.3625,1.2550
1.5500,22.4522,-1.4983,1.3795
1.5550,22.4441,-1.6608,1.5287
1.5600,22.4347,-1.8519,1.7038
1.5650,22.4254,-2.0734,1.9067
1.5700,22.4146,-2.3261,2.1381
1.5750,22.4023,-2.6088,2.3966
1.5800,22.3883,-2.9194,2.6803
1.5850,22.3733,-3.2564,2.9877
1.5900,22.3566,-3.6172,3.3162
1.5950,22.3366,-3.9985,3.6624
1.6000,22.3161,-4.3970,4.0238
1.6050,22.2932,-4.8097,4.3969
1.6100,22.2677,-5.2323,4.7779
1.6150,22.2399,-5.6617,5.1635
1.6200,22.2116,-6.0953,5.5519
1.6250,22.1795,-6.5290,5.9383
1.6300,22.1456,-6.9583,6.3191
1.6350,22.1102,-7.3815,6.6927
1.6400,22.0723,-7.7944,7.0550
1.6450,22.0322,-8.1949,7.4040
1.6500,21.9898,-8.5764,7.7337
1.6550,21.9460,-8.9386,8.0443
1.6600,21.9007,-9.2795,8.3338
1.6650,21.8531,-9.5925,8.5962
1.6700,21.8049,-9.8767,8.8313
1.6750,21.7547,-10.1284,9.0355
1.6800,21.7036,-10.3454,9.2074
1.6850,21.6512,-10.5250,9.3447
1.6900,21.5975,-10.6645,9.4451
1.6950,21.5446,-10.7631,9.5091
1.7000,21.4905,-10.8204,9.5358
1.7050,21.4364,-10.8336,9.5235
1.7100,21.3824,-10.8053,9.4750
1.7150,21.3276,-10.7376,9.3916
1.7200,21.2747,-10.6325,9.2769
1.7250,21.2222,-10.4941,9.1336
1.7300,21.1699,-10.3282,8.9672
1.7350,21.1185,-10.1409,8.7833
1.7400,21.0682,-9.9387,8.5877
1.7450,21.0194,-9.7283,8.3862
1.7500,20.9708,-9.5149,8.1832
1.7550,20.9246,-9.3061,7.9858
1.7600,20.8774,-9.1046,7.7950
1.7650,20.8331,-8.9132,7.6147
1.7700,20.7889,-8.7348,7.4463
1.7750,20.7455,-8.5684,7.2890
1.7800,20.7033,-8.4124,7.1416
1.7850,20.6616,-8.2641,7.0015
1.7900,20.6206,-8.1216,6.8670
1.7950,20.5805,-7.9785,6.7329
1.8000,20.5407,-7.8331,6.5974
1.8050,20.5021,-7.6797,6.4561
1.8100,20.4645,-7.5132,6.3046
1.8150,20.4269,-7.3306,6.1401
1.8200,20.3910,-7.1292,5.9610
1.8250,20.3558,-6.9060,5.7646
1.8300,20.3223,-6.6602,5.5504
1.8350,20.2892,-6.3936,5.3196
1.8400,20.2576,-6.1061,5.0727
1.8450,20.2278,-5.8006,4.8119
1.8500,20.1998,-5.4836,4.5427
1.8550,20.1730,-5.1597,4.2688
1.8600,20.1483,-4.8342,3.9945
1.8650,20.1247,-4.5156,3.7269
1.8700,20.1030,-4.2080,3.4692
1.8750,20.0828,-3.9166,3.2256
1.8800,20.0639,-3.6453,2.9992
1.8850,20.0463,-3.3971,2.7925
1.8900,20.0298,-3.1711,2.6045
1.8950,20.0146,-2.9672,2.4351
1.9000,20.0003,-2.7823,2.2817
1.9050,19.9868,-2.6113,2.1400
1.9100,19.9743,-2.4509,2.0073
1.9150,19.9622,-2.2944,1.8780
1.9200,19.9515,-2.1390,1.7498
1.9250,19.9410,-1.9758,1.6155
1.9300,19.9312,-1.8019,1.4726
1.9350,19.9228,-1.6121,1.3170
1.9400,19.9153,-1.4029,1.1457
1.9450,19.9090,-1.1720,0.9568
1.9500,19.9039,-0.9168,0.7483
1.9550,19.8994,-0.6380,0.5206
1.9600,19.8971,-0.3325,0.2713
1.9650,19.8963,-0.0019,0.0015
1.9700,19.8973,0.3534,-0.2883
1.9750,19.9003,0.7320,-0.5974
1.9800,19.9049,1.1330,-0.9248
1.9850,19.9112,1.5521,-1.2673
1.9900,19.9201,1.9873,-1.6234
1.9950,19.9315,2.4346,-1.9900
2.0000,19.9441,2.8858,-2.3604
2.0050,19.9601,3.3354,-2.7303
2.0100,19.9776,3.7741,-3.0921
2.0150,19.9974,4.1944,-3.4398
2.0200,20.0199,4.5873,-3.7662
2.0250,20.0438,4.9463,-4.0656
2.0300,20.0696,5.2657,-4.3337
2.0350,20.0967,5.5408,-4.5662
2.0400,20.1244,5.7701,-4.7616
2.0450,20.1541,5.9519,-4.9188
2.0500,20.1842,6.0852,-5.0365
2.0550,20.2148,6.1721,-5.1162
2.0600,20.2464,6.2136,-5.1587
2.0650,20.2766,6.2101,-5.1635
2.0700,20.3078,6.1636,-5.1328
2.0750,20.3386,6.0762,-5.0677
2.0800,20.3685,5.9504,-4.9701
2.0850,20.3982,5.7879,-4.8415
2.0900,20.4264,5.5892,-4.6817
2.0950,20.4533,5.3565,-4.4927
2.1000,20.4801,5.0933,-4.2776
2.1050,20.5053,4.8022,-4.0380
2.1100,20.5284,4.4850,-3.7755
2.1150,20.5500,4.1443,-3.4924
2.1200,20.5701,3.7873,-3.1946
2.1250,20.5872,3.4133,-2.8815
2.1300,20.6039,3.0295,-2.5596
2.1350,20.6179,2.6390,-2.2312
2.1400,20.6300,2.2466,-1.9005
2.1450,20.6407,1.8564,-1.5712
2.1500,20.6484,1.4727,-1.2470
2.1550,20.6547,1.0989,-0.9308
2.1600,20.6599,0.7388,-0.6259
2.1650,20.6626,0.3951,-0.3348
2.1700,20.6637,0.0694,-0.0588
2.1750,20.6629,-0.2366,0.2005
2.1800,20.6613,-0.5229,0.4431
2.1850,20.6580,-0.7887,0.6682
2.1900,20.6533,-1.0366,0.8780
2.1950,20.6478,-1.2674,1.0732
2.2000,20.6404,-1.4835,1.2557
2.2050,20.6331,-1.6878,1.4281
2.2100,20.6241,-1.8811,1.5911
2.2150,20.6137,-2.0666,1.7470
2.2200,20.6035,-2.2474,1.8989
2.2250,20.5919,-2.4243,2.0472
2.2300,20.5790,-2.5991,2.1934
2.2350,20.5651,-2.7739,2.3394
2.2400,20.5513,-2.9486,2.4850
2.2450,20.5360,-3.1237,2.6306
2.2500,20.5202,-3.3004,2.7773
2.2550,20.5028,-3.4758,2.9224
2.2600,20.4855,-3.6512,3.0673
2.2650,20.4665,-3.8254,3.2106
2.2700,20.4473,-3.9958,3.3505
2.2750,20.4261,-4.1623,3.4865
2.2800,20.4055,-4.3220,3.6165
2.2850,20.3830,-4.4737,3.7393
2.2900,20.3602,-4.6138,3.8521
2.2950,20.3372,-4.7414,3.9541
2.3000,20.3131,-4.8531,4.0425
2.3050,20.2890,-4.9454,4.1144
2.3100,20.2635,-5.0158,4.1678
2.3150,20.2385,-5.0606,4.1998
2.3200,20.2128,-5.0767,4.2077
2.3250,20.1877,-5.0616,4.1899
2.3300,20.1625,-5.0110,4.1428
2.3350,20.1372,-4.9203,4.0627
2.3400,20.1134,-4.7882,3.9489
2.3450,20.0898,-4.6106,3.7980
2.3500,20.0670,-4.3859,3.6089
2.3550,20.0457,-4.1125,3.3804
2.3600,20.0261,-3.7901,3.1124
2.3650,20.0081,-3.4214,2.8073
2.3700,19.9919,-3.0106,2.4683
2.3750,19.9778,-2.5649,2.1015
2.3800,19.9659,-2.0934,1.7142
2.3850,19.9569,-1.6072,1.3155
2.3900,19.9505,-1.1191,0.9157
2.3950,19.9452,-0.6413,0.5246
2.4000,19.9436,-0.1858,0.1519
2.4050,19.9437,0.2387,-0.1953
2.4100,19.9459,0.6248,-0.5110
2.4150,19.9497,0.9699,-0.7934
2.4200,19.9558,1.2709,-1.0399
2.4250,19.9630,1.5304,-1.2527
2.4300,19.9707,1.7518,-1.4344
2.4350,19.9806,1.9383,-1.5880
2.4400,19.9900,2.0975,-1.7192
2.4450,20.0011,2.2333,-1.8316
2.4500,20.0130,2.3507,-1.9290
2.4550,20.0250,2.4544,-2.0153
2.4600,20.0372,2.5509,-2.0959
2.4650,20.0502,2.6405,-2.1710
2.4700,20.0637,2.7287,-2.2450
2.4750,20.0779,2.8140,-2.3168
2.4800,20.0918,2.9018,-2.3909
2.4850,20.1062,2.9902,-2.4654
2.4900,20.1223,3.0793,-2.5409
2.4950,20.1372,3.1701,-2.6179
2.5000,20.1538,3.2599,-2.6943
2.5050,20.1702,3.3493,-2.7704
2.5100,20.1869,3.4359,-2.8444
2.5150,20.2045,3.5195,-2.9161
2.5200,20.2225,3.5956,-2.9818
2.5250,20.2402,3.6621,-3.0398
2.5300,20.2591,3.7177,-3.0887
2.5350,20.2773,3.7578,-3.1249
2.5400,20.2964,3.7805,-3.1467
2.5450,20.3154,3.7823,-3.1511
2.5500,20.3344,3.7606,-3.1360
2.5550,20.3527,3.7148,-3.1005
2.5600,20.3713,3.6427,-3.0431
2.5650,20.3895,3.5453,-2.9643
2.5700,20.4071,3.4235,-2.8648
2.5750,20.4234,3.2794,-2.7464
2.5800,20.4395,3.1156,-2.6113
2.5850,20.4543,2.9360,-2.4625
2.5900,20.4688,2.7457,-2.3045
2.5950,20.4821,2.5488,-2.1407
2.6000,20.4942,2.3490,-1.9741
2.6050,20.5057,2.1514,-1.8090
2.6100,20.5164,1.9590,-1.6481
2.6150,20.5255,1.7738,-1.4930
2.6200,20.5339,1.5981,-1.3457
2.6250,20.5410,1.4310,-1.2055
2.6300,20.5483,1.2733,-1.0730
2.6350,20.5542,1.1194,-0.9436
2.6400,20.5589,0.9688,-0.8168
2.6450,20.5637,0.8168,-0.6889
2.6500,20.5669,0.6600,-0.5567
2.6550,20.5705,0.4954,-0.4179
2.6600,20.5724,0.3210,-0.2708
2.6650,20.5735,0.1342,-0.1132
2.6700,20.5731,-0.0643,0.0542
2.6750,20.5731,-0.2756,0.2325
2.6800,20.5709,-0.4988,0.4208
2.6850,20.5676,-0.7321,0.6175
2.6900,20.5639,-0.9753,0.8224
2.6950,20.5579,-1.2263,1.0339
2.7000,20.5514,-1.4857,1.2521
2.7050,20.5436,-1.7517,1.4758
2.7100,20.5333,-2.0241,1.7044
2.7150,20.5234,-2.3026,1.9379
2.7200,20.5110,-2.5855,2.1748
2.7250,20.4975,-2.8743,2.4161
2.7300,20.4819,-3.1684,2.6613
2.7350,20.4652,-3.4669,2.9096
2.7400,20.4470,-3.7684,3.1598
2.7450,20.4278,-4.0718,3.4109
2.7500,20.4067,-4.3758,3.6618
2.7550,20.3843,-4.6790,3.9112
2.7600,20.3600,-4.9771,4.1554
2.7650,20.3339,-5.2685,4.3930
2.7700,20.3070,-5.5513,4.6227
2.7750,20.2795,-5.8210,4.8407
2.7800,20.2494,-6.0731,5.0428
2.7850,20.2179,-6.3061,5.2282
2.7900,20.1861,-6.5156,5.3933
2.7950,20.1530,-6.6971,5.5344
2.8000,20.1189,-6.8469,5.6486
2.8050,20.0840,-6.9607,5.7324
2.8100,20.0498,-7.0353,5.7839
2.8150,20.0136,-7.0651,5.7979
2.8200,19.9784,-7.0445,5.7708
2.8250,19.9432,-6.9704,5.7000
2.8300,19.9090,-6.8378,5.5820
2.8350,19.8751,-6.6443,5.4148
2.8400,19.8423,-6.3838,5.1941
2.8450,19.8107,-6.0578,4.9212
2.8500,19.7822,-5.6658,4.5963
2.8550,19.7548,-5.2112,4.2218
2.8600,19.7295,-4.6992,3.8023
2.8650,19.7075,-4.1376,3.3441
2.8700,19.6887,-3.5351,2.8544
2.8750,19.6723,-2.9018,2.3411
2.8800,19.6596,-2.2458,1.8106
2.8850,19.6500,-1.5786,1.2721
2.8900,19.6435,-0.9056,0.7295
2.8950,19.6408,-0.2346,0.1889
2.9000,19.6417,0.4273,-0.3442
2.9050,19.6450,1.0774,-0.8679
2.9100,19.6521,1.7078,-1.3763
2.9150,19.6620,2.3147,-1.8664
2.9200,19.6753,2.8912,-2.3328
2.9250,19.6915,3.4321,-2.7715
2.9300,19.7095,3.9303,-3.1767
2.9350,19.7304,4.3819,-3.5454
2.9400,19.7536,4.7823,-3.8739
2.9450,19.7787,5.1306,-4.1612
2.9500,19.8048,5.4225,-4.4037
2.9550,19.8324,5.6590,-4.6021
2.9600,19.8612,5.8411,-4.7570
2.9650,19.8910,5.9726,-4.8714
2.9700,19.9214,6.0564,-4.9473
2.9750,19.9514,6.0967,-4.9877
2.9800,19.9819,6.0980,-4.9964
2.9850,20.0123,6.0660,-4.9778
2.9900,20.0431,6.0062,-4.9363
2.9950,20.0725,5.9215,-4.8739
3.0000,20.1024,5.8192,-4.7969
3.0050,20.1313,5.7005,-4.7059
3.0100,20.1588,5.5697,-4.6042
3.0150,20.1867,5.4311,-4.4959
3.0200,20.2132,5.2850,-4.3808
3.0250,20.2390,5.1326,-4.2600
3.0300,20.2642,4.9761,-4.1353
3.0350,20.2888,4.8145,-4.0058
3.0400,20.3127,4.6464,-3.8706
3.0450,20.3352,4.4718,-3.7292
3.0500,20.3578,4.2905,-3.5820
3.0550,20.3788,4.1000,-3.4265
3.0600,20.3984,3.8989,-3.2615
3.0650,20.4171,3.6869,-3.0870
3.0700,20.4352,3.4624,-2.9016
3.0750,20.4521,3.2255,-2.7053
3.0800,20.4680,2.9764,-2.4984
3.0850,20.4820,2.7130,-2.2787
3.0900,20.4944,2.4376,-2.0487
3.0950,20.5064,2.1494,-1.8075
3.1000,20.5162,1.8493,-1.5559
3.1050,20.5249,1.5383,-1.2948
3.1100,20.5317,1.2161,-1.0239
3.1150,20.5370,0.8849,-0.7453
3.1200,20.5401,0.5461,-0.4600
3.1250,20.5420,0.2001,-0.1686
3.1300,20.5423,-0.1519,0.1279
3.1350,20.5408,-0.5083,0.4282
3.1400,20.5373,-0.8668,0.7301
3.1450,20.5319,-1.2263,1.0325
3.1500,20.5253,-1.5857,1.3347
3.1550,20.5159,-1.9416,1.6335
3.1600,20.5056,-2.2915,1.9269
3.1650,20.4932,-2.6349,2.2144
3.1700,20.4797,-2.9664,2.4913
3.1750,20.4635,-3.2842,2.7560
3.1800,20.4462,-3.5846,3.0054
3.1850,20.4280,-3.8638,3.2366
3.1900,20.4076,-4.1173,3.4455
3.1950,20.3865,-4.3419,3.6297
3.2000,20.3643,-4.5313,3.7839
3.2050,20.3408,-4.6832,3.9062
3.2100,20.3177,-4.7921,3.9925
3.2150,20.2931,-4.8541,4.0392
3.2200,20.2690,-4.8665,4.0448
3.2250,20.2445,-4.8265,4.0067
3.2300,20.2203,-4.7315,3.9232
3.2350,20.1974,-4.5809,3.7940
3.2400,20.1745,-4.3752,3.6196
3.2450,20.1539,-4.1165,3.4022
3.2500,20.1338,-3.8078,3.1440
3.2550,20.1154,-3.4543,2.8496
3.2600,20.0988,-3.0620,2.5239
3.2650,20.0848,-2.6380,2.1730
3.2700,20.0727,-2.1931,1.8054
3.2750,20.0632,-1.7359,1.4284
3.2800,20.0551,-1.2790,1.0520
3.2850,20.0500,-0.8310,0.6834
3.2900,20.0469,-0.4038,0.3320
3.2950,20.0462,-0.0057,0.0047
